DOClass	Disease	DiseaseClass	EvidenceIndexGDA	EvidenceLevelGDA	FirstRef	Gene	GeneDPI	GeneDSI	GeneFullName	GenePLI	HPOClass	LastRef	NumDiseasesAssociatedToGene	NumGenesDisease	NumPMIDs	NumVariantsAssociatedToGene	NumVariantsDisease	NumVariantsGDA	PathwayIDs	PathwayNames	ProteinClass	ScoreGDA	SemanticType	Type	UnitProt	diseaseUMLSCUI	geneEnsemblIDs	geneNcbiID	geneNcbiType	numCTs	numberChemsIncludedInEvidence	numberPmidsWithChemsIncludedInEvidence
	Depressive neurosis	Mental Disorders	0.8947368421052632		2013.0	PDYN	0.87	0.5	prodynorphin	0.49146	Abnormality of the nervous system (00707)	2014.0	37	271	5	55	6	0	R-HSA-162582	Signal Transduction	Signaling	0.75	Mental or Behavioral Dysfunction (T048)	disease	P01213	C0011581	ENSG00000101327	5173	protein-coding	0	2	2
	Depressive neurosis	Mental Disorders	0.825		2013.0	MTHFR	0.91	0.34	methylenetetrahydrofolate reductase	1.0185e-11	Abnormality of the nervous system (00707)	2014.0	213	271	5	214	6	0	R-HSA-1430728	Metabolism		0.75	Mental or Behavioral Dysfunction (T048)	disease	Q59GJ6,P42898,Q8IU67	C0011581	ENSG00000177000	4524	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2001.0	GRM1	0.91	0.5	glutamate metabotropic receptor 1	0.99997	Abnormality of the nervous system (00707)	2014.0	21	271	5	22	6	0	R-HSA-112316,R-HSA-162582,R-HSA-9709957	Neuronal System,Signal Transduction,Sensory Perception	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q13255,Q59HC2	C0011581	ENSG00000152822	2911	protein-coding	2	1	1
	Depressive neurosis	Mental Disorders	1.0		2009.0	NTRK2	0.96	0.45	neurotrophic receptor tyrosine kinase 2	1.0	Abnormality of the nervous system (00707)	2015.0	42	271	5	27	6	0	R-HSA-162582,R-HSA-1643685	Signal Transduction,Disease	Kinase	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q5VWE5,Q16620,A0A8I5KR47,Q548C2	C0011581	ENSG00000148053	4915	protein-coding	0	1	1
	Depressive neurosis	Mental Disorders	1.0		2008.0	KCNK2	0.83	0.58	potassium two pore domain channel subfamily K member 2	0.019359	Abnormality of the nervous system (00707)	2011.0	3	271	5	4	6	0	R-HSA-112316,R-HSA-397014	Neuronal System,Muscle contraction	Ion channel	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q6ZW95,O95069,U3N6F0,U3N834	C0011581	ENSG00000082482	3776	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.9310344827586208		2010.0	HTR2C	0.83	0.51	5-hydroxytryptamine receptor 2C		Abnormality of the nervous system (00707)	2014.0	19	271	5	2	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	K9J958,P28335	C0011581	ENSG00000147246	3358	protein-coding	0	2	1
	Depressive neurosis	Mental Disorders	0.967741935483871		2007.0	OPRK1	0.91	0.52	opioid receptor kappa 1	0.00092914	Abnormality of the nervous system (00707)	2015.0	15	271	5	1	6	0	R-HSA-162582,R-HSA-74160	Signal Transduction,Gene expression (Transcription)	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	A0A5F9ZI09,P41145	C0011581	ENSG00000082556	4986	protein-coding	0	1	1
	Depressive neurosis	Mental Disorders	0.95		2008.0	MAPK3	0.96	0.32	mitogen-activated protein kinase 3	8.3786e-07	Abnormality of the nervous system (00707)	2011.0	45	271	5	3	6	0	R-HSA-109582,R-HSA-112316,R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-74160,R-HSA-8953897	Hemostasis,Neuronal System,Developmental Biology,Signal Transduction,Cell Cycle,Disease,Immune System,Programmed Cell Death,Gene expression (Transcription),Cellular responses to stimuli	Kinase	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q9BWJ1,L7RXH5,P27361	C0011581	ENSG00000102882	5595	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2013.0	GAL	0.96	0.44	galanin and GMAP prepropeptide	0.013691	Abnormality of the nervous system (00707)	2014.0	18	271	5	32	6	0	R-HSA-162582	Signal Transduction		0.75	Mental or Behavioral Dysfunction (T048)	disease	P22466	C0011581	ENSG00000069482	51083	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.9		2010.0	GRM7	0.87	0.53	glutamate metabotropic receptor 7	0.36055	Abnormality of the nervous system (00707)	2014.0	21	271	5	27	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	B9EGG9,B2R693,Q14831,Q59G95	C0011581	ENSG00000196277	2917	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.7142857142857143		2009.0	NOS2	1.0	0.33	nitric oxide synthase 2	1.9485999999999999e-22	Abnormality of the nervous system (00707)	2013.0	85	271	5	12	6	0	R-HSA-109582,R-HSA-1643685,R-HSA-168256,R-HSA-9609507	Hemostasis,Disease,Immune System,Protein localization		0.75	Mental or Behavioral Dysfunction (T048)	disease	P35228	C0011581	ENSG00000007171	4843	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.9285714285714286		2010.0	PTGS2	0.96	0.32	prostaglandin-endoperoxide synthase 2	1.0	Abnormality of the nervous system (00707)	2013.0	143	271	5	1	6	0	R-HSA-1430728,R-HSA-168256	Metabolism,Immune System	Enzyme	0.75	Mental or Behavioral Dysfunction (T048)	disease	P35354	C0011581	ENSG00000073756	5743	protein-coding	0	2	1
	Depressive neurosis	Mental Disorders	1.0		2007.0	SLC18A2	0.83	0.51	solute carrier family 18 member A2	0.0030973	Abnormality of the nervous system (00707)	2013.0	18	271	5	5	6	0	R-HSA-112316,R-HSA-382551	Neuronal System,Transport of small molecules	Transporter	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q05940	C0011581	ENSG00000165646	6571	protein-coding	1	1	1
	Depressive neurosis	Mental Disorders	1.0		2007.0	PDE4A	0.87	0.53	phosphodiesterase 4A	0.99975	Abnormality of the nervous system (00707)	2013.0	6	271	5	2	6	0	R-HSA-162582	Signal Transduction		0.75	Mental or Behavioral Dysfunction (T048)	disease	P27815	C0011581	ENSG00000065989	5141	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	1.0		2012.0	AKT1	0.96	0.28	AKT serine/threonine kinase 1	0.99533	Abnormality of the nervous system (00707)	2014.0	85	271	5	159	6	0	R-HSA-109582,R-HSA-1266738,R-HSA-1430728,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-168256,R-HSA-5357801,R-HSA-5653656,R-HSA-74160,R-HSA-8953854,R-HSA-8953897	Hemostasis,Developmental Biology,Metabolism,Signal Transduction,Cell Cycle,Disease,Immune System,Programmed Cell Death,Vesicle-mediated transport,Gene expression (Transcription),Metabolism of RNA,Cellular responses to stimuli	Kinase	0.75	Mental or Behavioral Dysfunction (T048)	disease	B0LPE5,B3KVH4,P31749	C0011581	ENSG00000142208	207	protein-coding	0	3	3
	Depressive neurosis	Mental Disorders	1.0		2012.0	DISC1	0.87	0.54	DISC1 scaffold protein	5.763e-15	Abnormality of the nervous system (00707)	2015.0	23	271	5	6	6	0				0.75	Mental or Behavioral Dysfunction (T048)	disease	C4P0D0,C4P096,C4P0D3,C4P0C4,C4P0C8,C4P0A4,C4P0A5,C4P098,C4P0D2,Q9NRI5,C4P094,C4P0D1	C0011581	ENSG00000162946	27185	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.8		2004.0	CNTF	0.91	0.52	ciliary neurotrophic factor	4.9324e-06	Abnormality of the nervous system (00707)	2012.0	12	271	4	0	6	0	R-HSA-168256	Immune System		0.75	Mental or Behavioral Dysfunction (T048)	disease	P26441	C0011581	ENSG00000242689	1270	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	0.8181818181818182		2002.0	TH	0.91	0.45	tyrosine hydroxylase		Abnormality of the nervous system (00707)	2014.0	32	271	4	329	6	0	R-HSA-1430728	Metabolism		0.75	Mental or Behavioral Dysfunction (T048)	disease	P78428,P07101	C0011581	ENSG00000180176	7054	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.9411764705882352		2010.0	CACNA1C	0.96	0.41	calcium voltage-gated channel subunit alpha1 C	1.0	Abnormality of the nervous system (00707)	2014.0	67	271	4	668	6	0	R-HSA-1266738,R-HSA-1430728,R-HSA-397014	Developmental Biology,Metabolism,Muscle contraction	Ion channel	0.75	Mental or Behavioral Dysfunction (T048)	disease	E9PDI6,F5H522,A0A804HJB6,Q5V9X9,A0A804HI37,A0A804HKC4,A0A0A0MR67,Q13936,A0A0A0MSA1,A0A804HIJ8,Q59GU3	C0011581	ENSG00000151067	775	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.8333333333333334		2005.0	DUSP1	0.91	0.47	dual specificity phosphatase 1	0.32476	Abnormality of the nervous system (00707)	2013.0	11	271	4	4	6	0	R-HSA-162582	Signal Transduction		0.75	Mental or Behavioral Dysfunction (T048)	disease	P28562,B4DU40	C0011581	ENSG00000120129	1843	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	1.0		2010.0	ADCYAP1	0.96	0.48	adenylate cyclase activating polypeptide 1	0.22276	Abnormality of the nervous system (00707)	2014.0	14	271	4	0	6	0	R-HSA-162582	Signal Transduction	Signaling	0.75	Mental or Behavioral Dysfunction (T048)	disease	P18509,B7Z222	C0011581	ENSG00000141433	116	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	0.7894736842105263		2003.0	CRHR2	0.87	0.54	corticotropin releasing hormone receptor 2	4.7132e-18	Abnormality of the nervous system (00707)	2009.0	13	271	4	1	6	0	R-HSA-162582,R-HSA-392499	Signal Transduction,Metabolism of proteins	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q13324,A0A090N7T4	C0011581	ENSG00000106113	1395	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2009.0	HTR3A	0.96	0.5	5-hydroxytryptamine receptor 3A	8.7803e-12	Abnormality of the nervous system (00707)	2012.0	15	271	4	2	6	0	R-HSA-112316	Neuronal System	Ion channel	0.75	Mental or Behavioral Dysfunction (T048)	disease	P46098,B4E398	C0011581	ENSG00000166736	3359	protein-coding	0	1	1
	Depressive neurosis	Mental Disorders	1.0		2003.0	TACR1	0.91	0.45	tachykinin receptor 1	4.0199e-06	Abnormality of the nervous system (00707)	2014.0	16	271	4	1	6	0	R-HSA-162582,R-HSA-5653656	Signal Transduction,Vesicle-mediated transport	G-protein coupled receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	P25103	C0011581	ENSG00000115353	6869	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.7777777777777778		2012.0	ESR1	0.96	0.3	estrogen receptor 1	0.99791	Abnormality of the nervous system (00707)	2013.0	74	271	4	247	6	0	R-HSA-162582,R-HSA-1643685,R-HSA-392499,R-HSA-74160	Signal Transduction,Disease,Metabolism of proteins,Gene expression (Transcription)	Nuclear receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q9UBT1,A8KAF4,P03372,A0A125SXW3,G4XH65,H0Y4W6	C0011581	ENSG00000091831	2099	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.8974358974358975		2011.0	P2RX7	0.87	0.42	purinergic receptor P2X 7	4.2054e-13	Abnormality of the nervous system (00707)	2013.0	12	271	4	2	6	0	R-HSA-109582,R-HSA-1643685,R-HSA-168256	Hemostasis,Disease,Immune System	Ion channel	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q99572	C0011581	ENSG00000089041	5027	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.9545454545454546		2010.0	GRIN2B	0.96	0.42	glutamate ionotropic receptor NMDA type subunit 2B	1.0	Abnormality of the nervous system (00707)	2014.0	50	271	4	354	6	0	R-HSA-112316,R-HSA-1266738,R-HSA-162582,R-HSA-74160	Neuronal System,Developmental Biology,Signal Transduction,Gene expression (Transcription)	Ion channel	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q13224,A0A8D9PHB2	C0011581	ENSG00000273079	2904	protein-coding	0	2	3
	Depressive neurosis	Mental Disorders	1.0		2008.0	GAD1	0.96	0.5	glutamate decarboxylase 1	0.27606	Abnormality of the nervous system (00707)	2014.0	31	271	4	92	6	0	R-HSA-112316,R-HSA-74160	Neuronal System,Gene expression (Transcription)	Enzyme	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q8IVA8,Q99259,A0A0S2Z3V5	C0011581	ENSG00000128683	2571	protein-coding	0	1	1
	Depressive neurosis	Mental Disorders	1.0		2006.0	TNFRSF1A	0.91	0.37	TNF receptor superfamily member 1A	0.99985	Abnormality of the nervous system (00707)	2013.0	38	271	4	175	6	0	R-HSA-162582,R-HSA-168256	Signal Transduction,Immune System		0.75	Mental or Behavioral Dysfunction (T048)	disease	J9PH39,P19438	C0011581	ENSG00000067182	7132	protein-coding	0	1	1
	Depressive neurosis	Mental Disorders	1.0		2005.0	CALM2	0.91	0.48	calmodulin 2	0.99326	Abnormality of the nervous system (00707)	2014.0	14	271	4	32	6	0	R-HSA-109582,R-HSA-112316,R-HSA-1430728,R-HSA-162582,R-HSA-1643685,R-HSA-168256,R-HSA-1852241,R-HSA-382551,R-HSA-392499,R-HSA-397014,R-HSA-5653656,R-HSA-74160,R-HSA-9709957	Hemostasis,Neuronal System,Metabolism,Signal Transduction,Disease,Immune System,Organelle biogenesis and maintenance,Transport of small molecules,Metabolism of proteins,Muscle contraction,Vesicle-mediated transport,Gene expression (Transcription),Sensory Perception		0.75	Mental or Behavioral Dysfunction (T048)	disease	P0DP24,P0DP25,Q96HY3,B4DJ51,P0DP23	C0011581	ENSG00000143933	805	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	0.8666666666666667		2002.0	GFAP	0.91	0.37	glial fibrillary acidic protein	2.8326e-09	Abnormality of the nervous system (00707)	2015.0	36	271	3	110	6	0	R-HSA-162582,R-HSA-9612973	Signal Transduction,Autophagy		0.75	Mental or Behavioral Dysfunction (T048)	disease	P14136	C0011581	ENSG00000131095	2670	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2006.0	TNFRSF1B	0.91	0.4	TNF receptor superfamily member 1B	0.10032	Abnormality of the nervous system (00707)	2013.0	31	271	3	1	6	0	R-HSA-168256	Immune System		0.75	Mental or Behavioral Dysfunction (T048)	disease	P20333	C0011581	ENSG00000028137	7133	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	0.9285714285714286		2007.0	GSK3B	0.96	0.38	glycogen synthase kinase 3 beta	0.89836	Abnormality of the nervous system (00707)	2012.0	37	271	3	10	6	0	R-HSA-1266738,R-HSA-162582,R-HSA-1640170,R-HSA-1643685,R-HSA-74160,R-HSA-8953897	Developmental Biology,Signal Transduction,Cell Cycle,Disease,Gene expression (Transcription),Cellular responses to stimuli	Kinase	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q6FI27,P49841	C0011581	ENSG00000082701	2932	protein-coding	0	2	2
	Depressive neurosis	Mental Disorders	0.8571428571428571		2013.0	GRIA1	0.91	0.53	glutamate ionotropic receptor AMPA type subunit 1	0.99956	Abnormality of the nervous system (00707)	2014.0	22	271	3	30	6	0	R-HSA-112316,R-HSA-392499,R-HSA-5653656	Neuronal System,Metabolism of proteins,Vesicle-mediated transport	Ion channel	0.75	Mental or Behavioral Dysfunction (T048)	disease	Q59GL5,P42261	C0011581	ENSG00000155511	2890	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2007.0	NCAM1	0.96	0.38	neural cell adhesion molecule 1	1.0	Abnormality of the nervous system (00707)	2012.0	23	271	3	46	6	0	R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-168256	Developmental Biology,Extracellular matrix organization,Signal Transduction,Immune System		0.75	Mental or Behavioral Dysfunction (T048)	disease	P13591,A0A087WWD4	C0011581	ENSG00000149294	4684	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	1.0		2009.0	VGF	0.74	0.57	VGF nerve growth factor inducible	0.0087032	Abnormality of the nervous system (00707)	2013.0	7	271	3	0	6	0	R-HSA-162582,R-HSA-392499	Signal Transduction,Metabolism of proteins		0.75	Mental or Behavioral Dysfunction (T048)	disease	O15240	C0011581	ENSG00000128564	7425	protein-coding	1	2	1
	Depressive neurosis	Mental Disorders	1.0		2005.0	SLC1A2	0.91	0.47	solute carrier family 1 member 2	0.83535	Abnormality of the nervous system (00707)	2012.0	14	271	3	29	6	0	R-HSA-112316,R-HSA-382551	Neuronal System,Transport of small molecules	Transporter	0.75	Mental or Behavioral Dysfunction (T048)	disease	A0A2U3TZS7,A0A2R8YFE3,A0A2R8Y860,A2A2U1,P43004	C0011581	ENSG00000110436	6506	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.9230769230769232		2010.0	HOMER1	0.91	0.56	homer scaffold protein 1	1.0	Abnormality of the nervous system (00707)	2012.0	8	271	3	0	6	0	R-HSA-112316	Neuronal System		0.75	Mental or Behavioral Dysfunction (T048)	disease	Q5U5K4,Q86YM7	C0011581	ENSG00000152413	9456	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2004.0	NGFR	0.91	0.42	nerve growth factor receptor	3.7444e-09	Abnormality of the nervous system (00707)	2005.0	9	271	2	2	6	0	R-HSA-162582	Signal Transduction	Receptor	0.75	Mental or Behavioral Dysfunction (T048)	disease	P08138	C0011581	ENSG00000064300	4804	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	0.8235294117647058		1998.0	GH1	0.96	0.31	growth hormone 1	0.012644	Abnormality of the nervous system (00707)	1999.0	47	271	2	63	6	0	R-HSA-168256,R-HSA-392499	Immune System,Metabolism of proteins	Signaling	0.75	Mental or Behavioral Dysfunction (T048)	disease	P01241,B1A4G7,B1A4G6	C0011581	ENSG00000259384	2688	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.9090909090909092		2011.0	S100A10	0.91	0.54	S100 calcium binding protein A10	0.53932	Abnormality of the nervous system (00707)	2011.0	14	271	2	1	6	0	R-HSA-109582	Hemostasis	Calcium-binding protein	0.75	Mental or Behavioral Dysfunction (T048)	disease	P60903	C0011581	ENSG00000197747	6281	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2011.0	DPP4	0.96	0.38	dipeptidyl peptidase 4	1.5794e-17	Abnormality of the nervous system (00707)	2015.0	5	271	2	14	6	0	R-HSA-392499	Metabolism of proteins	Enzyme	0.75	Mental or Behavioral Dysfunction (T048)	disease	P27487	C0011581	ENSG00000197635	1803	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.8461538461538461		2012.0	FTO	0.96	0.43	FTO alpha-ketoglutarate dependent dioxygenase	1.1171e-10	Abnormality of the nervous system (00707)	2013.0	32	271	2	226	6	0	R-HSA-73894	DNA Repair		0.75	Mental or Behavioral Dysfunction (T048)	disease	Q9C0B1,Q99770,A0A1B0GTC5,B3KU60	C0011581	ENSG00000140718	79068	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2012.0	SOD2	1.0	0.35	superoxide dismutase 2	0.032187	Abnormality of the nervous system (00707)	2012.0	192	271	1	5	6	0	R-HSA-1643685,R-HSA-168256,R-HSA-1852241,R-HSA-74160,R-HSA-8953897	Disease,Immune System,Organelle biogenesis and maintenance,Gene expression (Transcription),Cellular responses to stimuli	Enzyme	0.75	Mental or Behavioral Dysfunction (T048)	disease	A0A384NL29,Q96AM7,P04179,Q9UG59,G5E9P6	C0011581	ENSG00000291237	6648	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		1998.0	GAP43	0.91	0.47	growth associated protein 43	0.99644	Abnormality of the nervous system (00707)	1998.0	9	271	1	3	6	0	R-HSA-1266738	Developmental Biology		0.75	Mental or Behavioral Dysfunction (T048)	disease	Q5U058,P17677	C0011581	ENSG00000172020	2596	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	0.8545454545454545		2015.0	ACE	0.96	0.31	angiotensin I converting enzyme	5.7955e-32	Abnormality of the nervous system (00707)	2015.0	123	271	1	159	6	0	R-HSA-392499	Metabolism of proteins	Enzyme	0.75	Mental or Behavioral Dysfunction (T048)	disease	P12821,B4DKH4	C0011581	ENSG00000159640	1636	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2009.0	SAT1	0.87	0.5	spermidine/spermine N1-acetyltransferase 1		Abnormality of the nervous system (00707)	2010.0	13	271	2	0	6	0	R-HSA-1430728	Metabolism		0.7	Mental or Behavioral Dysfunction (T048)	disease	P21673,A0A384NQ10	C0011581	ENSG00000130066	6303	protein-coding	1	0	0
	Depressive neurosis	Mental Disorders	0.8		2013.0	DRD4	0.91	0.48	dopamine receptor D4	7.0522e-14	Abnormality of the nervous system (00707)	2014.0	34	271	5	3	6	0	R-HSA-162582	Signal Transduction	G-protein coupled receptor	0.7	Mental or Behavioral Dysfunction (T048)	disease	P21917	C0011581	ENSG00000069696	1815	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		1993.0	ATXN3	0.83	0.51	ataxin 3	0.62903	Abnormality of the nervous system (00707)	2014.0	9	271	5	6	6	0	R-HSA-392499,R-HSA-74160	Metabolism of proteins,Gene expression (Transcription)	Enzyme	0.7	Mental or Behavioral Dysfunction (T048)	disease	A0A0A0MS38,P54252,C9JQV6	C0011581	ENSG00000066427	4287	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.7857142857142857		1998.0	BRCA1	0.96	0.34	BRCA1 DNA repair associated	1.4282e-34	Abnormality of the nervous system (00707)	2013.0	83	271	5	5749	6	0	R-HSA-1474165,R-HSA-1640170,R-HSA-1643685,R-HSA-392499,R-HSA-73894,R-HSA-74160,R-HSA-8953897	Reproduction,Cell Cycle,Disease,Metabolism of proteins,DNA Repair,Gene expression (Transcription),Cellular responses to stimuli	Enzyme	0.7	Mental or Behavioral Dysfunction (T048)	disease	A0A9Y1QQK3,P38398	C0011581	ENSG00000012048	672	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.8888888888888888		2001.0	PSEN1	0.96	0.44	presenilin 1	0.99951	Abnormality of the nervous system (00707)	2012.0	48	271	5	277	6	0	R-HSA-1266738,R-HSA-1474244,R-HSA-162582,R-HSA-1643685,R-HSA-168256	Developmental Biology,Extracellular matrix organization,Signal Transduction,Disease,Immune System	Enzyme	0.7	Mental or Behavioral Dysfunction (T048)	disease	A0A024R6A3,P49768,A0A0S2Z4D2	C0011581	ENSG00000080815	5663	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2004.0	HTT	0.91	0.49	huntingtin	1.0	Abnormality of the nervous system (00707)	2015.0	12	271	4	30	6	0	R-HSA-74160	Gene expression (Transcription)		0.7	Mental or Behavioral Dysfunction (T048)	disease	P42858	C0011581	ENSG00000197386	3064	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2003.0	FGFR1	0.96	0.34	fibroblast growth factor receptor 1	1.0	Abnormality of the nervous system (00707)	2013.0	84	271	4	322	6	0	R-HSA-1266738,R-HSA-162582,R-HSA-1643685	Developmental Biology,Signal Transduction,Disease	Kinase	0.7	Mental or Behavioral Dysfunction (T048)	disease	A0A0S2Z3Q6,P11362	C0011581	ENSG00000077782	2260	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.75		2010.0	GRN	0.91	0.4	granulin precursor	0.041507	Abnormality of the nervous system (00707)	2012.0	27	271	3	217	6	0	R-HSA-168256	Immune System		0.7	Mental or Behavioral Dysfunction (T048)	disease	P28799	C0011581	ENSG00000030582	2896	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.8		2008.0	CHRNA4	0.65	0.55	cholinergic receptor nicotinic alpha 4 subunit	5.5303e-06	Abnormality of the nervous system (00707)	2012.0	25	271	3	262	6	0	R-HSA-112316	Neuronal System	Ion channel	0.7	Mental or Behavioral Dysfunction (T048)	disease	Q59FV0,P43681,B4DK78,Q4VAQ3	C0011581	ENSG00000101204	1137	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.8333333333333334		2009.0	PER3	0.87	0.53	period circadian regulator 3	1.1379e-17	Abnormality of the nervous system (00707)	2009.0	10	271	2	5	6	0			Transcription factor	0.7	Mental or Behavioral Dysfunction (T048)	disease	A2I2N5,P56645,A0A087WV69	C0011581	ENSG00000049246	8863	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2011.0	ATP1A3	0.87	0.49	ATPase Na+/K+ transporting subunit alpha 3	1.0	Abnormality of the nervous system (00707)	2011.0	39	271	1	292	6	0	R-HSA-1643685,R-HSA-382551,R-HSA-397014	Disease,Transport of small molecules,Muscle contraction	Transporter	0.7	Mental or Behavioral Dysfunction (T048)	disease	P13637,Q53ES0	C0011581	ENSG00000105409	478	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2020.0	NOTCH3	0.96	0.41	notch receptor 3	1.3894e-07	Abnormality of the nervous system (00707)	2020.0	39	271	1	256	6	2	R-HSA-162582,R-HSA-1643685,R-HSA-74160	Signal Transduction,Disease,Gene expression (Transcription)		0.7	Mental or Behavioral Dysfunction (T048)	disease	Q9UM47	C0011581	ENSG00000074181	4854	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2009.0	CHRNA2	0.87	0.48	cholinergic receptor nicotinic alpha 2 subunit	1.7506e-12	Abnormality of the nervous system (00707)	2009.0	12	271	1	241	6	0	R-HSA-112316	Neuronal System	Ion channel	0.7	Mental or Behavioral Dysfunction (T048)	disease	Q15822	C0011581	ENSG00000120903	1135	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2012.0	PRNP	0.96	0.4	prion protein (Kanno blood group)	0.00032079	Abnormality of the nervous system (00707)	2012.0	29	271	1	74	6	0	R-HSA-1266738,R-HSA-9609507	Developmental Biology,Protein localization		0.7	Mental or Behavioral Dysfunction (T048)	disease	F7VJQ1,Q53YK7,P04156	C0011581	ENSG00000171867	5621	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2012.0	SGCE	0.7	0.58	sarcoglycan epsilon	0.3174	Abnormality of the nervous system (00707)	2012.0	9	271	1	252	6	0			Calcium-binding protein	0.7	Mental or Behavioral Dysfunction (T048)	disease	E9PEH6,A0A0S2Z4P5,A0A2R8Y5J3,B4DP78,O43556,A0A2R8YGQ3,C9JR67	C0011581	ENSG00000127990	8910	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	1.0		2001.0	GABRB3	0.83	0.53	gamma-aminobutyric acid type A receptor subunit beta3	0.9991	Abnormality of the nervous system (00707)	2012.0	30	271	5	171	6	0	R-HSA-112316,R-HSA-162582	Neuronal System,Signal Transduction	Ion channel	0.65	Mental or Behavioral Dysfunction (T048)	disease	X5DQY4,P28472,B2RCW8	C0011581	ENSG00000166206	2562	protein-coding	0	0	0
	Depressive neurosis	Mental Disorders	0.8571428571428571		2006.0	BCL2	0.91	0.3	BCL2 apoptosis regulator	0.98901	Abnormality of the nervous system (00707)	2013.0	80	271	5	19	6	0	R-HSA-1266738,R-HSA-162582,R-HSA-168256,R-HSA-5357801,R-HSA-8953897	Developmental Biology,Signal Transduction,Immune System,Programmed Cell Death,Cellular responses to stimuli	Signaling	0.65	Mental or Behavioral Dysfunction (T048)	disease	A0A7I2V3S7,P10415	C0011581	ENSG00000171791	596	protein-coding	0	0	0
